filename,filesize,modified,errors,md5,namespace,id,format,version,mime,basis,warning
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Sallenger-Asbury (Abby).doc,61952,2015-09-10,,8dba75441c7a48cccd8a86229a391b57,pronom,x-fmt/45,Microsoft Word Document Template,97-2003,,"container name CompObj with byte match at 85, 20; name WordDocument with byte match at 10, 1",extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch1/SREX-Fig1-2_20110815_final.ai,1645615,2015-09-10,,5f139505baefe91d5831d92121018ace,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1645608 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch1/SREX_Fig1-1_v7_20110801.ai,1734592,2015-09-10,,25c4967a603bba7f03b7d8d58bf301c6,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1734585 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch1/SREX_Fig1-3_v3_20110815_final.ai,1385408,2015-09-10,,e1143f70c07fd1eb22da701518bc6d4d,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1385401 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch1/Table1-1_v1_20110926_FINAL.ai,1197634,2015-09-10,,422056a560e46bb97f7cdd63fb554256,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1197627 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch2/SREX_Fig2-1_2012.0103_FINAL.ai,1554327,2015-09-10,,d7adba43a121361367d385d017ffdb1f,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1554320 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch2/SREX_Fig2-2_20120103_FINAL.ai,1753407,2015-09-10,,dbb4b394ac5a5604a5b9a40e80716277,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1753400 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Fig3-9_v1_20110120.ai,786298,2015-09-10,,56b433c866644bab391639bae60c97f2,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [786291 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Figure_3.2.ai,2837887,2015-09-10,,80fbaae0768057945f187be44a9e4eaa,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [2837880 5]],extension mismatch
"IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/SREX_Fig3,7B_121211.ai",4820297,2015-09-10,,eb47a05a945eb89d0387bd7c3d9d7a4c,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [4820290 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/SREX_Fig3.1_230112ai,2104506,2015-09-10,,831ea841c10ef774f430fe0f28561744,pronom,fmt/563,Adobe Illustrator,14,application/postscript,byte match at [[0 8] [969045 338]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/SREX_Fig3.5A_091211.ai,4829413,2015-09-10,,537a359b45cc6aa8055b02903a4e2eee,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [4829406 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/SREX_Fig3.5B_091211.ai,4791171,2015-09-10,,d9c14635a052a4c37127652760dd2d7f,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [4791164 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/SREX_Fig3.7A_121211.ai,4833321,2015-09-10,,dc42e5f37fdb62d1c80d029fdb2abbe0,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [4833314 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-1_v1_20120308_FINAL_p1.ai,1640634,2015-09-10,,d1e9146351d25661465d437aec4a26f2,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1640627 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-1_v1_20120308_FINAL_p2.ai,1132922,2015-09-10,,faf451a232340cdeb543e60581db55f0,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1132915 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-2_v4_20120215_FINAL_p1.ai,1492057,2015-09-10,,b4a0ce4b1b697180ea57cbcb7c4f0323,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1492050 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-2_v4_20120215_FINAL_p2.ai,1550530,2015-09-10,,4147cf8033b1bfa98e6543092e522ab7,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1550523 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-2_v4_20120215_FINAL_p3.ai,1431457,2015-09-10,,f2002a0c8f582655f113d29d5399e40b,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1431450 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-2_v4_20120215_FINAL_p4.ai,1491795,2015-09-10,,c5c6e2a27014f0ebac33e30b7d7b7cad,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1491788 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-2_v4_20120215_FINAL_p5.ai,1495930,2015-09-10,,5d9dcf37be53ea3dbbf5821df1895150,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1495923 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p1.ai,1738513,2015-09-10,,4011d8bf999fddcd9993022a950fe514,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1738506 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p2.ai,1591818,2015-09-10,,2d8ed1578c515664982f1dc6967e649c,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1591811 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p3.ai,1474699,2015-09-10,,ca81a514b93efa3459ae76b6125c2227,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1474692 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p4.ai,1561885,2015-09-10,,ae9115ba0e9770b992d33e65c6112fca,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1561878 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p5.ai,1474150,2015-09-10,,30958a7fbb8c46587bb5de33347bed77,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1474143 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p6.ai,1537242,2015-09-10,,78de4f2d92a82b00a32cdf1539f2c865,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1537235 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/Table3-3_v4_20120215_FINAL_p7.ai,1505874,2015-09-10,,43b6e53eeb173f150f05e6ff9196373f,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1505867 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/srex_fig3.10_131211.ai,4753807,2015-09-10,,eb680222252ec762b085017f1e669122,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [4753800 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/srex_fig3.3_261011.ai,6522412,2015-09-10,,7489d448f38cce854f850dd09ca3cc8c,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [6522405 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/srex_fig3.4_261011.ai,6396325,2015-09-10,,ce91556f91be28c849fa7392a1712dc8,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [6396318 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/srex_fig3.6_131211.ai,5337326,2015-09-10,,bdf000ded0767325ebd4a8127176f1c0,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [5337319 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch3/srex_fig3.8_131211.ai,2726659,2015-09-10,,4ab7a7edaaf26f000dcf7636b132e309,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [2726652 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-1_v3_20111107_FINAL.ai,1785292,2015-09-10,,5cee6981a9239a14fc34d6cd63ac5056,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1785285 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-2_v2_20111107_FINAL.ai,1562507,2015-09-10,,51b0f7d2b6138e9e67c7ad13b5d56c2c,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1562500 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-3_v3_20111107_FINAL.ai,8061499,2015-09-10,,82f113d4cf46b66c2726b7d2f935317e,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [8061492 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-4_v3_20111107_FINAL.ai,1734523,2015-09-10,,a11a5d15d60fc41825e3c96e2589a369,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1734516 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-5_v1_20111128_FINAL.ai,1312796,2015-09-10,,9b53c73d0fa1030639ee9fb897add8df,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1312789 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-6_v3_20111107_FINAL.ai,5118110,2015-09-10,,f91d8ecf9625a400d8aa45458b7e37c6,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [5118103 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-7_v1_20111107_FINAL.ai,1411914,2015-09-10,,bfcd364c737559f2d0a4b598ede76b5a,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1411907 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Figure4-8_v2_20111107_FINAL.ai,1721355,2015-09-10,,30dfe178a3522b4df1daf64a2d736899,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1721348 5]],extension mismatch
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Publishing/Native Art/Ch4/Table4-1_20111107_FINAL.ai,1122792,2015-09-10,,2ae116de7e242b07359725162af87417,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,byte match at [[0 8] [1122785 5]],extension mismatch
