filename,filesize,modified,errors,md5,namespace,id,format,version,mime,basis,warning
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/.DS_Store,8196,2015-09-10T10:47:14-04:00,,846eb8aa7b5e7c0a22fccb194f1dfc89,pronom,fmt/394,DS_store file (MAC),,,"extension match ds_store; byte match at 3, 7",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/._.DS_Store,70,2015-09-10T10:47:14-04:00,,f9a6ea9806b2d261e5456381dc68c217,pronom,fmt/503,AppleDouble Resource Fork,2,multipart/appledouble,"byte match at 0, 8",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/.DS_Store,8196,2015-09-10T10:49:36-04:00,,061d8d368875c9a218e22a67fc2c9034,pronom,fmt/394,DS_store file (MAC),,,"extension match ds_store; byte match at 3, 7",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/._.DS_Store,70,2015-09-10T10:49:36-04:00,,f9a6ea9806b2d261e5456381dc68c217,pronom,fmt/503,AppleDouble Resource Fork,2,multipart/appledouble,"byte match at 0, 8",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/.DS_Store,10244,2015-09-10T10:49:36-04:00,,bde96736353a35cb5438f4cf4558b119,pronom,fmt/394,DS_store file (MAC),,,"extension match ds_store; byte match at 3, 7",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/._.DS_Store,70,2015-09-10T10:49:36-04:00,,f9a6ea9806b2d261e5456381dc68c217,pronom,fmt/503,AppleDouble Resource Fork,2,multipart/appledouble,"byte match at 0, 8",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/.DS_Store,6148,2015-09-10T10:49:36-04:00,,6eb7e6c6e37251c819ade92bdbef9a8f,pronom,fmt/394,DS_store file (MAC),,,"extension match ds_store; byte match at 3, 7",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/._.DS_Store,70,2015-09-10T10:49:36-04:00,,f9a6ea9806b2d261e5456381dc68c217,pronom,fmt/503,AppleDouble Resource Fork,2,multipart/appledouble,"byte match at 0, 8",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/ALDUNCE-PAULINA.doc,1107968,2015-09-10T10:49:38-04:00,,9bf92106254aad6e5e71a90b2f687930,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/ALLALI -Abdelkader .doc,123904,2015-09-10T10:49:38-04:00,,d05fda864b86404de2e00c71cb589608,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/ANGELES-Manuel.doc,102400,2015-09-10T10:49:38-04:00,,cb1fe12bca8f80b90e941f3e57ee5d58,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 89, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Aerts-Jeroen.pdf,39357,2015-09-10T10:49:38-04:00,,7c581120da0c4d556e3ba9ee9654c388,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [39351 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Aldrian-Edvin.doc,143360,2015-09-10T10:49:38-04:00,,b69ce251f0d11a71d16e29f3c861348b,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 85, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Allen-Myles.pdf,53326,2015-09-10T10:49:38-04:00,,035d0d94e3767ee09bc082a23e643f1a,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [53320 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Ananicheva-Maria.doc,41984,2015-09-10T10:49:38-04:00,,8ffc43b259e03ef4d807c6f7a80f118b,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 85, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Angel-James.doc,78336,2015-09-10T10:49:38-04:00,,ed2e7d5e262afe2a89f77ecfd6eaf493,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Angulo Villarreal-Lenkiza.doc,70144,2015-09-10T10:49:38-04:00,,3d2967e61b52441fabe0c1baba7674fc,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 89, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Arnell-Nigel.pdf,128051,2015-09-10T10:49:38-04:00,,d875ec0901cafe208ed44ab71fcf2fe6,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [128045 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Asaduzzaman-M.doc,75776,2015-09-10T10:49:38-04:00,,19c3c144c6ed5c5a1d614ec9dbf519b5,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Asano-Shiho.doc,43008,2015-09-10T10:49:38-04:00,,3d7a184cfacaa627de04428c2f04c871,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 81, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Auld-Heather.doc,51200,2015-09-10T10:49:38-04:00,,0561b6984115e7db0dda90e997ce3927,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/BHATTACHARYA-SUMANA.doc,75264,2015-09-10T10:49:38-04:00,,60660c5e56a44579b12835c7deb64047,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 77, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/BITRAN-Daniel.doc,43520,2015-09-10T10:49:38-04:00,,b5834630997e207f7a7ce36d287acdce,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 78, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/BLOESCHL-GUENTER.doc,67584,2015-09-10T10:49:38-04:00,,61419d328c899d5efbdac336af2c5d4b,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 77, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/BOJARIU-ROXANA.pdf,28148,2015-09-10T10:49:38-04:00,,91586883657c51d4618c7bc23862b2d4,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [28141 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/BORSHCH-SERGEY.doc,43520,2015-09-10T10:49:38-04:00,,ca2e589ca82759ee1ba54406996d6d2c,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 77, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Bae-Deg-Hyo.doc,39936,2015-09-10T10:49:38-04:00,,30056d7f8b6012e01ecd821f71e7e582,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 72, 20; name WordDocument with name only",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Bala-Govindasamy.pdf,115181,2015-09-10T10:49:38-04:00,,73cfd215b08eb5a5331294743c8e79d3,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,extension match pdf; byte match at [[0 8] [115174 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Nominations/CV/Bardt-Hubertus.pdf,29084,2015-09-10T10:49:38-04:00,,02738f2b33a1864481924b89ae6539b3,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [29077 5]],
